folder,file,n_samples,W_statistic,p_value,normal,conclusion
Dask_v2022.1.0_itr(20),Dask_adult_v2022.1.0_itr(20).csv,380,0.5494,0.0,False,Not Normal
Dask_v2022.1.0_itr(20),Dask_bank_v2022.1.0_itr(20).csv,380,0.5366,0.0,False,Not Normal
Dask_v2022.1.0_itr(20),Dask_drug_v2022.1.0_itr(20).csv,380,0.4953,0.0,False,Not Normal
Dask_v2022.1.0_itr(20),Dask_exam_v2022.1.0_itr(20).csv,380,0.5442,0.0,False,Not Normal
Dask_v2022.1.0_itr(20),Dask_water_v2022.1.0_itr(20).csv,380,0.7605,0.0,False,Not Normal
Dask_v2022.1.0_itr(20),dask_census_v2022.1.0_itr(20).csv,380,0.0304,0.0,False,Not Normal
Dask_v2022.1.0_itr(30),Dask_adult_v2022.1.0_itr(30).csv,570,0.548,0.0,False,Not Normal
Dask_v2022.1.0_itr(30),Dask_bank_v2022.1.0_itr(30).csv,570,0.5346,0.0,False,Not Normal
Dask_v2022.1.0_itr(30),Dask_drug_v2022.1.0_itr(30).csv,570,0.4939,0.0,False,Not Normal
Dask_v2022.1.0_itr(30),Dask_exam_v2022.1.0_itr(30).csv,570,0.5417,0.0,False,Not Normal
Dask_v2022.1.0_itr(30),Dask_water_v2022.1.0_itr(30).csv,570,0.7571,0.0,False,Not Normal
Dask_v2022.1.0_itr(30),dask_census_v2022.1.0_itr(30).csv,570,0.5046,0.0,False,Not Normal
Dask_v2024.8.0_itr(20),Dask_adult_v2024.8.0_itr(20).csv,380,0.5513,0.0,False,Not Normal
Dask_v2024.8.0_itr(20),Dask_bank_v2024.8.0_itr(20).csv,380,0.5333,0.0,False,Not Normal
Dask_v2024.8.0_itr(20),Dask_drug_v2024.8.0_itr(20).csv,380,0.4942,0.0,False,Not Normal
Dask_v2024.8.0_itr(20),Dask_exam_v2024.8.0_itr(20).csv,380,0.5435,0.0,False,Not Normal
Dask_v2024.8.0_itr(20),Dask_water_v2024.8.0_itr(20).csv,380,0.7598,0.0,False,Not Normal
