tag,pkg_mean,pkg_median,pkg_std,dram_mean,dram_median,dram_std,duration_mean,duration_median,duration_std
concat_dataframes,101123.0,101898.0,2854.2836034439333,17059.4,16968.0,439.59632998164705,0.014514970779418901,0.014478325843811,0.00014423690428186947
count,404998.1,406097.0,9945.41488381008,89190.4,89507.5,2682.6181738493224,0.05977406501770016,0.059346199035644503,0.0014478354901262334
drop,26495.2,26641.5,2893.1854340079126,5297.9,5493.5,404.47756427272947,0.00408756732940669,0.00409352779388425,6.282129742982274e-05
dropna,32971.1,28045.5,8980.76221029027,7605.0,6775.0,3099.3125044112608,0.00536050796508784,0.0048592090606689,0.0011019991818231516
fillna,41259.6,46295.0,11633.584354502842,10192.9,12054.5,3390.828527071223,0.00624556541442865,0.00700688362121575,0.0013263469762331227
groupby,1806.5,305.0,2366.091538099629,323.5,0.0,541.3662243702398,0.0007138967514037601,0.00073361396789545,5.5514286993727466e-05
isna,6640.6,6347.5,1682.9329688902578,1776.1,1709.0,446.29373735243024,0.00141353607177731,0.001420259475708,2.9081594233799613e-05
load_csv,61291.2,57922.0,18743.438821210064,11077.8,10467.5,3347.710222425671,0.0067921638488769006,0.0062168836593627,0.0024488372256494403
load_json,1554427.4,1526516.5,113558.66506416652,394395.8,388976.0,20107.492936161347,0.20769245624542232,0.2030889987945556,0.016244071324452814
max,166900.2,165740.5,4632.951274415816,38055.4,37750.5,894.680352602723,0.02264921665191645,0.02264261245727535,0.0002457188768307622
mean,181731.7,181823.0,3957.3209526423575,40063.4,40130.5,750.3371390396595,0.02431435585021968,0.0243144035339355,8.483606236381875e-05
merge,186187.1,184753.0,7857.066012337063,31420.9,30639.0,3503.181806110935,0.026813101768493598,0.025935769081115702,0.0027046464225885364
min,170434.4,170166.0,4100.358038567423,38421.6,38879.5,1044.2835076953218,0.02267060279846186,0.0226753950119018,0.00014092943520858443
replace,6548.8,6438.5,1696.2558638234846,1550.1,1556.5,217.86155134753713,0.00153169631958002,0.00156891345977775,7.39250714154584e-05
save_csv,2448681.5,2452508.0,45980.324514948676,528642.3,526427.0,5636.171199394947,0.330268907546997,0.3280874490737915,0.004613329942448786
save_json,2228180.4,2223505.0,55154.4008120235,531096.0,529356.5,6297.01382491026,0.29749755859374993,0.29529893398284907,0.0060311457347134185
sort,23559.5,23742.5,3105.929964510541,5322.1,5523.5,398.348381863581,0.0039504766464232895,0.0039410591125488,8.162735143632741e-05
sum,169011.9,168670.5,4303.576044020446,38244.3,38421.5,1021.946405422297,0.02288749217987057,0.0229265689849853,0.00011131214249625108
unique,164709.0,164733.5,3634.8303949427923,37701.3,37567.5,511.514972084559,0.02242872714996333,0.0224133729934692,0.000122205923111693
