tag,pkg_mean,pkg_median,pkg_std,dram_mean,dram_median,dram_std,duration_mean,duration_median,duration_std
concat_dataframes,103002.9,102539.0,4506.714705118722,17474.3,17333.5,600.2564359412468,0.014934873580932559,0.0149462223052978,0.0002583489514410279
count,525493.1,525206.0,12673.882694125099,106908.8,106292.0,1915.6976564977888,0.06596984863281245,0.0657854080200195,0.0006442730011987683
drop,26208.4,26215.0,7033.67367580966,6073.0,5341.0,3403.9311587241787,0.0047517299652098995,0.0038949251174926,0.0024415744896959172
dropna,31841.9,28472.5,7424.186501638486,6811.5,5615.5,3065.640018368468,0.00547978878021234,0.00465774536132805,0.0023868671530574725
fillna,28393.4,28777.5,3119.785184912577,5517.5,5493.0,503.99895282078165,0.00428893566131587,0.0042139291763305005,0.000157116515054766
groupby,2307.2,1831.0,2541.0513921953207,543.2,213.5,652.0585863248792,0.00047461986541744004,0.00036120414733879997,0.00018629652235743058
isna,6805.2,6225.0,4832.9724646892455,2142.1,1770.0,1510.5181193513995,0.00135362148284908,0.0010739564895629501,0.000653958411451251
load_csv,44152.7,38787.5,19553.17892341578,8581.5,7782.0,3568.605493279786,0.00539581775665279,0.0046209096908569,0.0026046526190360375
load_json,2335260.2,2308038.5,131272.31603621185,607872.0,599974.0,20818.676727080103,0.3222259283065796,0.3145465850830078,0.01926839015938331
max,359740.1,354491.5,22314.621895121203,81683.2,80963.0,5586.628834398551,0.04861912727355953,0.04736208915710445,0.003490751181800965
mean,373894.3,370727.0,9639.75856140714,85546.6,84778.0,3061.5921856300683,0.05042405128478998,0.0500106811523437,0.0014903072607579128
merge,201568.2,198089.0,11632.950841849583,33105.5,31861.0,3597.9426605893664,0.028579998016357376,0.0277670621871948,0.00272283430460094
min,379369.1,371947.5,31728.15132216534,87530.3,86089.5,5953.752655072076,0.051726865768432585,0.05042839050292965,0.005054699961936129
replace,5755.6,6133.5,1522.4811036959084,1776.1,1831.0,337.5712105944792,0.00130686759948725,0.0012257099151611,0.00014783157620770675
save_csv,1104971.4,1108212.5,24777.879019623782,198540.7,198333.5,1370.1803652560995,0.1515011072158813,0.15117132663726807,0.0006874314442662075
save_json,903134.9,914700.5,52614.23945716174,215807.7,220703.0,9300.787721119828,0.12620456218719478,0.12933957576751706,0.005679025221155304
sort,24102.6,22064.0,3568.4826280460807,4840.1,4486.0,608.149004036931,0.00384559631347652,0.0037598609924316,0.0001618822629767945
sum,374339.9,369933.0,16680.913846869018,86065.5,85296.5,3395.9258351409544,0.05080604553222652,0.05063807964324945,0.002642400797965926
unique,382152.4,380645.0,26132.201953400967,86675.9,87646.0,5804.290758663897,0.05163066387176509,0.051734328269958454,0.0038159439613554675
