tag,pkg_mean,pkg_median,pkg_std,dram_mean,dram_median,dram_std,duration_mean,duration_median,duration_std
concat_dataframes,28676.416666666668,28839.0,1673.9235052758988,5248.916666666667,5371.0,310.1833646360967,0.0041545430819193005,0.0041909217834472,0.00010177543856668448
count,117960.41666666667,118194.0,5813.899121280333,29647.583333333332,31311.0,4044.346052506418,0.022193650404612176,0.02354943752288815,0.002842061130232126
drop,7787.083333333333,6134.0,5399.149604055226,2639.75,1678.5,2907.5105291765885,0.0020803014437356915,0.00127041339874265,0.002343599833928343
dropna,3234.8333333333335,2960.0,2961.075137462231,890.0833333333334,915.5,780.9644920729673,0.0010470151901244584,0.0010875463485717001,0.00015366172006661848
fillna,1973.4166666666667,763.0,2382.248725978092,793.3333333333334,823.5,701.588111920291,0.0007514556248982084,0.00085401535034175,0.00016655171267420578
groupby,1780.25,1129.0,2081.1316469214967,706.9166666666666,610.0,664.3317159280285,0.0007703304290770916,0.0008085966110229,9.732974763740389e-05
isna,3865.5,3540.5,2336.547355705539,869.9166666666666,855.0,606.038471376099,0.0009225209554036,0.00101029872894285,0.00014011458774285796
load_csv,24317.25,9216.0,44348.23681669881,3829.9166666666665,1403.5,7323.246019706801,0.0022471547126769417,0.00042939186096189997,0.004260634726177007
load_json,195749.41666666666,177429.0,45628.24171987092,35425.666666666664,32928.5,6607.477160326959,0.020930210749308217,0.01999628543853755,0.0028680545080670373
max,60236.333333333336,59997.0,3474.007126525723,11738.833333333334,11718.0,745.4698132213286,0.008434772491455033,0.00858604907989495,0.00034521017886464085
mean,109501.83333333333,110626.0,6708.697839146558,21967.5,21423.5,2429.280420955219,0.015451967716217,0.0148338079452514,0.002032785155656167
merge,56025.0,54993.0,6285.131820415546,11337.25,9674.5,4220.548243685022,0.008958697319030708,0.0076296329498290495,0.0033073404238841532
min,94502.41666666667,93750.0,7071.754603649822,20238.0,19073.5,3770.6833477621676,0.01408541202545161,0.01309883594512935,0.002686532126877956
replace,2049.6666666666665,1495.5,2304.3052722846396,915.5,1129.0,718.952078311963,0.0008252064387002999,0.0008600950241088,0.00015223428387040988
save_csv,342762.4166666667,332152.5,30196.835509877623,63685.083333333336,62622.0,2853.115918950663,0.051904280980428014,0.050984501838684054,0.0019160847713353144
save_json,125365.83333333333,123931.5,6943.540292090108,24129.0,22400.0,4004.6406716571846,0.018121878306070916,0.01685857772827145,0.0029101287300018533
sort,2263.5,2289.0,1857.561084276418,468.0,335.5,515.6237176292593,0.0006920893987019417,0.00075042247772215,0.0001212546628305776
sum,92254.33333333333,89477.0,8331.338988021873,18732.5,17852.5,1699.3240634814974,0.013051509857177693,0.0127277374267578,0.0009268117457874311
unique,156493.66666666666,154662.5,7938.032322403026,30878.833333333332,28931.0,4822.636167705438,0.022556145985921174,0.02125310897827145,0.003252874426009783
