tag,pkg_mean,pkg_median,pkg_std,dram_mean,dram_median,dram_std,duration_mean,duration_median,duration_std
concat_dataframes,76586.8,76019.0,2504.9223008575186,12188.8,12054.5,468.27290238824526,0.01055626869201656,0.0105258226394653,0.00021844181486201065
count,48104894.0,47499176.5,1968063.9711006444,9528918.4,9430090.5,274044.63237712043,2.1145975589752197,2.0961214303970337,0.08822954996411077
drop,7574.6,5890.0,8835.701131709295,3686.5,1617.5,5743.270907960221,0.00321559906005855,0.0012242794036865,0.00445753429542487
dropna,7476.8,6286.5,4873.935503152344,3094.6,1648.0,3407.115469458325,0.0026190757751464303,0.0012269020080565999,0.002977539572862681
fillna,1934.7,580.0,2551.598368343524,494.3,0.0,668.8122224428087,0.00057919025421137,0.0004996061325072999,0.00015790615467109999
groupby,1629.8,610.5,2118.958748484212,811.6,549.0,732.9731236546127,0.00069458484649653,0.00075590610504145,0.0001630128828536475
isna,1867.6,1098.5,2202.599030438561,750.7,550.0,701.7052325110119,0.0007884740829467299,0.00078809261322015,0.00019255217572936581
load_csv,30249.0,0.0,61152.1330635508,5499.3,0.0,10862.144253732265,0.00382606983184808,0.0004539489746093,0.007159231602373513
load_json,512804790.7,512842132.0,6130106.0632113,114331854.6,114696270.0,1114070.6193460291,69.53402667045593,69.42897832393646,0.44033050936591944
max,13857685.5,13795619.0,181463.0744600678,2361950.6,2351770.0,41680.12503233546,0.6349896907806396,0.6313047409057617,0.02350770383584961
mean,13910163.3,13887720.5,133414.4372298009,2373529.2,2378290.0,30789.268930731218,0.6455676555633545,0.6469842195510864,0.018019212030404422
merge,207140.6,202484.0,14997.071708244323,33972.0,31250.0,6420.417829947763,0.029440069198608372,0.0269619226455688,0.005364792011552766
min,13862208.2,13869227.5,144583.2646676499,2369671.8,2367822.5,33622.62167317976,0.6397149562835693,0.6397851705551147,0.01969195859364262
replace,1330.6,0.0,2232.276127881833,469.9,0.0,759.5434959383315,0.00074312686920161,0.0006459951400756,0.00016612738068384072
save_csv,219859837.6,218442983.0,3197613.3621624475,29675644.4,29655533.0,279368.3948394231,24.624745035171507,24.531710028648376,0.22197257730906006
save_json,209229988.2,208520737.5,3529802.9501991905,39720467.2,39512045.0,793493.4575705623,26.23232431411743,26.15396237373352,0.5965071002770661
sort,1397.7,1160.0,1729.453802665904,378.5,183.0,545.8765122870434,0.00060167312622065,0.0006495714187622,0.00016516709656390357
sum,13856916.3,13861018.0,165046.1749841539,2371734.9,2373285.0,21409.67103099807,0.6428955316543579,0.6453392505645752,0.013686058979176173
unique,14565538.9,14527520.5,195545.01821402184,2450268.4,2437676.5,48262.33301723679,0.7003350973129272,0.695560097694397,0.025298357197268428
