tag,pkg_mean,pkg_median,pkg_std,dram_mean,dram_median,dram_std,duration_mean,duration_median,duration_std
concat_dataframes,79415.75,79590.0,2093.1901,20687.75,20691.0,602.9796,0.0176,0.0175,0.0005
count,49284834.65,49313838.5,465864.285,9844893.6,9881139.0,108000.3165,2.2521,2.2624,0.0263
drop,17394.9,17395.0,3969.0767,10446.2,10131.5,1445.9585,0.0088,0.0082,0.0012
dropna,6939.65,6195.0,3765.7303,2581.7,1831.0,2107.9952,0.0021,0.0015,0.0019
fillna,1391.45,427.0,1747.5484,467.0,183.5,572.6977,0.0007,0.0008,0.0002
groupby,918.55,0.0,1433.7165,405.95,0.0,575.3635,0.0007,0.0008,0.0002
isna,2383.4,2350.0,2196.1359,1055.95,1373.5,673.363,0.0009,0.0009,0.0001
load_csv,107296.5,108672.5,6646.8453,21835.35,22034.0,788.1834,0.0154,0.0154,0.0003
load_json,454812971.5,455107050.0,8327050.7016,113641829.4,113586562.0,633596.3656,69.6356,69.5846,0.5332
max,13597523.75,13609553.5,111275.0275,2382507.35,2381097.5,19885.144,0.6539,0.6511,0.0109
mean,13508931.55,13493831.5,84129.2111,2368447.85,2372644.0,16190.4344,0.6452,0.6463,0.0087
merge,202157.2,203399.0,6274.8757,44012.45,42053.5,3199.3796,0.0375,0.0358,0.0027
min,13569447.75,13583247.5,139160.5043,2379046.65,2377221.5,25499.7506,0.6518,0.6511,0.0141
replace,2389.55,2136.0,2336.4926,723.3,580.0,696.0523,0.0008,0.001,0.0002
save_csv,626563538.7,625995712.5,10570993.1117,140987898.95,140903326.0,618117.6296,92.8964,92.9056,0.5944
save_json,624527197.6,624593341.5,11553193.4721,150259524.55,150027814.5,788125.156,93.7514,93.5487,0.5938
sort,1043.75,183.0,1502.7007,283.85,0.0,466.2743,0.0006,0.0006,0.0002
sum,13337514.7,13324886.5,91977.0581,2349014.3,2346032.5,11714.9325,0.6317,0.6299,0.0063
unique,14270349.1,14266168.0,118673.6105,2468862.65,2467767.5,24314.3281,0.7195,0.7175,0.0136
