tag,pkg_mean,pkg_median,pkg_std,dram_mean,dram_median,dram_std,duration_mean,duration_median,duration_std
concat_dataframes,60158.1667,59997.5,2606.2169,11596.7,11352.0,1570.1064,0.0097,0.0095,0.0013
count,367520.2333,366943.0,9972.3865,81514.1667,81176.0,1774.9891,0.0511,0.0508,0.0014
drop,5472.9667,5402.0,2949.0837,1806.6,1709.0,1678.9398,0.0015,0.0013,0.0012
dropna,5025.2333,5402.0,1503.6674,1375.4333,1587.0,441.9875,0.0013,0.0014,0.0001
fillna,38655.5333,38940.5,6344.7668,8080.9,7995.0,1683.785,0.0063,0.0061,0.0013
groupby,642.8667,0.0,1085.1596,203.4667,0.0,417.1904,0.0006,0.0005,0.0002
isna,2115.9667,854.5,2470.1728,919.6333,1038.0,759.6415,0.0008,0.0009,0.0001
load_csv,7834.8667,0.0,25293.5642,1464.9,0.0,5664.544,0.0012,0.0004,0.0042
load_json,1599066.1333,1591060.5,50327.0817,504293.5333,501708.0,12204.1797,0.2379,0.2357,0.0078
max,146364.0667,147796.5,14189.0078,36252.7,36895.5,3000.5347,0.0208,0.0211,0.0019
mean,140246.1667,139800.5,3938.792,34816.4333,35064.5,642.9539,0.02,0.02,0.0003
merge,95324.3333,94817.5,5034.5549,17856.8667,17212.0,3230.6217,0.0149,0.0144,0.0026
min,131424.6,130920.0,8435.7074,32486.8667,32501.0,1743.636,0.0187,0.0184,0.0015
replace,35988.4333,35400.5,4896.547,7434.1,7294.0,696.1185,0.0058,0.0059,0.0001
save_csv,2830933.5333,2831719.0,52413.5096,769254.7,768644.0,12447.2849,0.4281,0.4283,0.0075
save_json,2639499.3,2629022.0,38938.0958,795029.6667,795744.0,10304.7903,0.4036,0.4027,0.0063
sort,581.9333,0.0,1100.3451,183.1,0.0,373.757,0.0006,0.0005,0.0002
sum,154951.6333,155090.0,5018.2454,38956.5,38940.0,1040.8119,0.0224,0.0222,0.0006
unique,239950.9333,237884.0,8816.981,54903.0333,54077.0,3637.8814,0.035,0.0346,0.0026
