tag,pkg_mean,pkg_median,pkg_std,dram_mean,dram_median,dram_std,duration_mean,duration_median,duration_std
concat_dataframes,38486.6333,38665.5,4181.0714,8192.9333,7934.5,1900.5395,0.0064,0.0062,0.0015
count,5102383.6667,5115191.0,63077.3556,1089590.7333,1088803.5,11993.0461,0.6324,0.6315,0.0075
drop,4687.4667,5401.5,3284.7298,1786.3,1709.0,1589.5847,0.0014,0.0013,0.0013
dropna,4591.9,5219.0,2309.6205,1285.8667,1587.0,630.2881,0.0011,0.0012,0.0002
fillna,1310.2333,0.0,1914.1177,657.1333,335.5,708.8029,0.0007,0.0008,0.0002
groupby,1833.0333,2228.0,1799.3312,437.4,305.0,514.7495,0.0007,0.0008,0.0001
isna,2482.1,1648.0,2403.7673,919.5333,915.0,710.8409,0.0009,0.0009,0.0002
load_csv,9417.6,7080.0,23631.6237,1702.8667,0.0,5622.3138,0.0012,0.0004,0.0042
load_json,61567571.0667,61759943.0,1045934.3723,10961275.6667,10955324.5,88787.2321,8.8776,8.8658,0.078
max,2544192.9667,2476037.0,266427.3912,405099.4333,401977.0,14737.5692,0.2244,0.2244,0.0032
mean,2575754.3333,2513208.0,262382.7551,414712.4667,409728.0,21916.1129,0.2288,0.2289,0.0032
merge,54587.6667,52978.5,7116.1028,11057.5333,10376.0,3889.7788,0.0091,0.0086,0.0032
min,2553981.1333,2490014.5,271303.4131,411101.2667,404753.5,25449.604,0.2263,0.2253,0.0045
replace,2408.8333,1648.0,2580.1061,1043.7333,1556.5,768.4147,0.0008,0.001,0.0002
save_csv,73358867.8,73505457.5,1298481.0929,13121153.8,13157345.5,122926.3812,10.5243,10.5353,0.1005
save_json,68752092.3667,68651954.0,1338382.1914,12694185.4667,12701383.5,125592.487,9.8864,9.8907,0.1027
sort,451.7,0.0,1102.9603,181.0333,0.0,397.8898,0.0006,0.0007,0.0001
sum,2533029.8333,2494653.5,222723.2831,411217.1667,407775.0,18712.8719,0.229,0.2277,0.0062
unique,2707921.5333,2708825.0,39514.9639,451797.1667,450651.5,7974.2248,0.2603,0.2592,0.0061
