tag,pkg_mean,pkg_median,pkg_std,dram_mean,dram_median,dram_std,duration_mean,duration_median,duration_std
concat_dataframes,796903.4333,796415.5,14777.8542,397400.9,397338.0,3833.2955,0.1075,0.1076,0.0017
count,1217312.5,1209408.5,67234.015,335057.7,332488.5,19130.0648,0.201,0.1995,0.0151
drop,1655537.7667,1655940.5,238125.255,563932.9667,567778.5,51072.9706,0.2455,0.2482,0.038
dropna,4625936.2667,4705920.5,325307.5324,1739544.2667,1719600.0,85420.5319,0.6346,0.6244,0.058
fillna,741892.5333,740293.5,12686.8785,389486.7667,389128.5,3931.8111,0.0954,0.0949,0.0013
groupby,4734.2333,5432.5,2349.841,1247.2,1526.0,545.7808,0.0011,0.0011,0.0002
isna,5834.9333,5768.0,1248.7252,1603.2,1648.0,310.2716,0.0014,0.0014,0.0001
load_csv,37758570.4,37152584.5,1650578.2775,8148447.1667,7991861.5,286373.6403,5.1339,5.0324,0.238
load_json,1010825287.0,1008055983.0,15576439.844,218799940.4333,218447713.5,1652256.1776,150.5566,150.1427,1.3281
max,15806.1667,15075.5,3020.0687,5189.9333,5035.5,827.939,0.0029,0.0031,0.0002
mean,19750.8333,20110.5,2476.3345,5824.8,5859.5,547.175,0.0032,0.0032,0.0002
merge,14642156.1667,14605156.5,211850.2108,5485396.5667,5474931.0,57716.8618,2.0403,2.0359,0.0397
min,16998.3,17852.5,2996.7352,5552.1667,5920.0,843.9876,0.0029,0.003,0.0002
replace,13102.1333,13488.5,2284.4463,5926.5,5767.5,914.4844,0.0023,0.0024,0.0002
save_csv,371071209.9333,371319728.5,3871693.9894,53991560.9667,53941634.0,398345.6245,47.7271,47.6753,0.3589
save_json,176322619.9333,175581246.0,2700574.3134,30939437.0,30943097.0,77255.1404,22.937,22.9237,0.0534
sort,5299256.0667,5298357.0,95794.5816,2817617.6667,2812065.5,16621.0096,0.8438,0.8388,0.0098
sum,15867.0333,15197.5,3065.2573,5336.5,5615.5,874.4929,0.0029,0.0029,0.0002
unique,61926.2333,61096.0,3100.8105,14717.5667,14800.5,734.1694,0.0097,0.0098,0.0002
