tag,pkg_mean,pkg_median,pkg_std,dram_mean,dram_median,dram_std,duration_mean,duration_median,duration_std
concat_dataframes,70373.3,70495.0,4086.7637,14725.8333,14801.0,782.0463,0.0102,0.0103,0.0003
count,112892.4667,112212.5,5232.7494,18713.4333,19043.0,822.0979,0.0158,0.0158,0.0001
drop,24511.6667,24932.5,3313.3381,5727.1,5737.5,1506.3719,0.0042,0.0039,0.0013
dropna,132409.3333,131988.5,5465.5451,23585.8,23407.5,2205.022,0.0191,0.0188,0.0015
fillna,119893.0,119842.0,2863.5334,21071.3,20996.0,412.7258,0.0175,0.0175,0.0002
groupby,4477.9333,5432.0,2926.8165,1306.0,1587.0,594.4694,0.0011,0.0012,0.0002
isna,5129.0667,5706.5,1693.7058,1517.6333,1587.0,461.4404,0.0013,0.0013,0.0001
load_csv,351360.2,350310.5,14733.335,73321.3333,73028.5,2076.1381,0.0432,0.0429,0.0009
load_json,2782467.6667,2760949.0,55625.8,630652.2333,630155.5,6615.4967,0.3955,0.3943,0.0049
max,3948.8667,3936.5,2351.4708,1186.1,1495.0,576.2384,0.001,0.0011,0.0002
mean,4421.0,4608.5,2543.2565,1108.8,1250.5,562.7903,0.0011,0.0011,0.0001
merge,498682.3667,498961.5,9758.8446,86594.5333,85968.0,3362.1544,0.0667,0.0662,0.0023
min,4254.1333,5157.5,2237.0668,1153.5333,1464.5,601.6858,0.001,0.0011,0.0001
replace,13834.7333,13336.5,1970.8725,3379.4,3052.0,693.4692,0.0027,0.0028,0.0001
save_csv,1792732.3333,1794948.0,30968.6062,321025.7,320647.5,2558.5417,0.2469,0.2466,0.0024
save_json,633004.1,628111.5,16972.8977,137462.9667,137146.0,2928.7798,0.0876,0.0881,0.0023
sort,34201.9,33447.0,2998.3077,7716.8333,7446.5,613.221,0.0057,0.0057,0.0001
sum,4870.7667,5249.0,2622.872,1357.0333,1525.5,404.3585,0.0012,0.0013,0.0001
unique,11751.3,12939.5,3168.5612,2821.8667,2808.0,1382.9511,0.0022,0.002,0.0012
