tag,pkg_mean,pkg_median,pkg_std,dram_mean,dram_median,dram_std,duration_mean,duration_median,duration_std
concat_dataframes,11773.6667,13122.5,2985.3629,3725.2,3784.5,466.8674,0.0022,0.0022,0.0001
count,62721.5,62408.0,1815.2153,11470.5,11474.0,425.3102,0.0094,0.0094,0.0001
drop,12235.5,12420.5,2113.6103,3263.2333,3265.0,580.3776,0.0023,0.0023,0.0001
dropna,63710.3,63201.5,2340.1446,12048.3667,11841.0,525.0024,0.0097,0.0097,0.0001
fillna,80659.7667,81054.0,3448.736,14825.2667,15045.0,579.0584,0.0118,0.0119,0.0001
groupby,1098.6667,0.0,1770.6744,244.1667,0.0,445.9327,0.0007,0.0007,0.0001
isna,7191.9333,6683.0,2225.7373,1731.2667,1587.0,403.4132,0.0016,0.0017,0.0001
load_csv,326498.7667,324188.0,16226.5342,70631.8333,70251.0,2385.6816,0.039,0.0385,0.002
load_json,1672519.7667,1668208.5,41327.9124,512219.9667,512267.0,9479.1505,0.2597,0.2597,0.0068
max,1332.5667,488.0,1858.0528,433.4,214.0,518.2784,0.0006,0.0007,0.0001
mean,1853.4667,671.0,2642.7814,756.8667,183.0,1570.4399,0.0008,0.0007,0.0013
merge,217319.1667,216003.0,8134.0889,41037.8667,40435.5,3306.7848,0.031,0.0307,0.0027
min,992.8,0.0,1442.1251,325.5,0.0,491.5077,0.0006,0.0007,0.0001
replace,11572.3,12908.5,3122.6344,2506.4667,2746.0,536.6884,0.0022,0.0022,0.0001
save_csv,827290.7,828886.0,17085.7559,133685.1,133667.0,2551.9321,0.1171,0.117,0.0015
save_json,365249.5667,365965.5,7468.3186,68182.1667,67809.5,2057.2105,0.0496,0.0493,0.0015
sort,26938.8333,26367.0,2273.3122,6335.4667,6164.5,518.5136,0.0045,0.0046,0.0001
sum,1017.2,0.0,1509.3171,284.8333,0.0,486.0133,0.0007,0.0008,0.0001
unique,1247.1,213.5,1699.906,476.1,183.0,568.1886,0.0007,0.0008,0.0001
