tag,pkg_mean,pkg_median,pkg_std,dram_mean,dram_median,dram_std,duration_mean,duration_median,duration_std
concat_dataframes,21451.6667,21789.5,1995.2623,6424.8,6408.0,805.1855,0.0033,0.0034,0.0001
count,98667.2,99059.5,5754.8424,17628.9667,17150.5,973.989,0.0134,0.0134,0.0001
drop,17299.3,15869.0,6468.2623,5163.5667,4364.5,3476.4928,0.0034,0.0029,0.0029
dropna,100961.9667,100188.5,3418.4776,18491.5333,18432.0,691.6894,0.0144,0.0145,0.0002
fillna,128375.0333,128448.5,3742.4207,23148.4667,23346.0,632.6465,0.018,0.018,0.0002
groupby,1135.3,1129.5,1172.5589,297.0333,0.0,419.7008,0.0007,0.0007,0.0002
isna,9375.0,8300.5,3433.2828,2170.7667,2197.0,604.511,0.0018,0.0019,0.0002
load_csv,341277.2,341064.0,14807.9897,66434.6,66345.0,1357.0969,0.0411,0.0408,0.0013
load_json,2556282.1,2535760.0,79266.6164,772646.0667,767851.0,11861.9599,0.3758,0.3727,0.0094
max,1102.7333,0.0,1729.1059,323.5,0.0,495.6062,0.0005,0.0005,0.0002
mean,1658.1333,0.0,2871.5447,736.5,91.5,1595.4919,0.0008,0.0006,0.0013
merge,418925.9667,419768.0,7696.6664,75736.3333,75134.0,2541.4654,0.0559,0.0556,0.002
min,750.6333,0.0,1194.4114,193.3333,0.0,356.7408,0.0005,0.0004,0.0002
replace,15492.6667,14343.0,3262.0901,3226.6,2808.0,675.2413,0.0027,0.0027,0.0002
save_csv,608236.0333,608977.0,11259.2495,103784.0,102996.5,1794.7357,0.0871,0.0867,0.0013
save_json,192703.7333,190520.5,6415.4627,43554.6,42602.5,2780.8304,0.0274,0.0267,0.0022
sort,42466.2333,42206.0,3839.1056,10101.3333,9827.0,1329.6571,0.0066,0.0064,0.0012
sum,1153.6,0.0,1687.4263,376.3,61.0,527.6418,0.0007,0.0008,0.0002
unique,13252.6333,13031.0,3913.4912,2952.2333,2808.0,1527.9043,0.0024,0.0021,0.0013
