tag,pkg_mean,pkg_median,pkg_std,dram_mean,dram_median,dram_std,duration_mean,duration_median,duration_std
concat_dataframes,51957.0667,51056.0,4727.4951,22674.6,22339.0,1033.3767,0.0078,0.0076,0.0008
count,185021.5667,184417.5,5527.5882,43465.0,42999.0,1315.9884,0.0292,0.0293,0.0003
drop,32218.2667,32470.5,2884.04,12135.7667,12329.0,584.1048,0.0051,0.0052,0.0002
dropna,228386.8667,227813.0,9583.7496,59580.3333,59112.5,2329.2321,0.0353,0.035,0.0015
fillna,314775.8,313994.5,6080.8858,92024.5333,92193.5,1229.4299,0.0476,0.0478,0.0005
groupby,858.6,0.0,1409.2956,270.6,0.0,456.6368,0.0006,0.0004,0.0002
isna,79337.4,79132.0,3568.6025,23718.2,22918.5,1511.4662,0.0144,0.0144,0.0003
load_csv,4566512.4667,4547687.0,97705.9368,1020574.5,1018674.5,13558.4056,0.6505,0.6479,0.0151
load_json,65405999.2,65376053.0,964656.8158,10881161.0,10890750.0,99833.3383,8.9159,8.9242,0.0892
max,1243.1,0.0,2188.9771,514.7667,183.0,690.5061,0.0006,0.0006,0.0002
mean,1385.5,305.0,1937.3456,852.4333,366.0,1611.3742,0.0009,0.0008,0.0012
merge,1517694.2333,1521328.0,32837.3774,386154.2,385832.5,5476.9662,0.2248,0.2241,0.005
min,742.6,0.0,1403.7638,288.8667,0.0,543.7393,0.0006,0.0006,0.0002
replace,140219.7333,139770.0,5015.6984,47684.5333,47241.0,1779.1322,0.0239,0.0239,0.0004
save_csv,9116775.6333,9125282.0,164464.9446,1482381.4667,1481380.5,6223.7951,1.2362,1.2353,0.0046
save_json,2635617.3333,2629632.0,65562.5832,584800.8,584868.0,4372.3835,0.3533,0.3532,0.0024
sort,99067.9333,98967.5,3209.9024,30332.3333,30334.0,685.7023,0.0153,0.0152,0.0004
sum,1088.4333,0.0,1895.6493,669.3333,183.0,752.5503,0.0007,0.0007,0.0002
unique,21268.6667,21881.0,2725.1822,4046.4667,4181.0,464.2891,0.0032,0.0032,0.0002
