tag,pkg_mean,pkg_median,pkg_std,dram_mean,dram_median,dram_std,duration_mean,duration_median,duration_std
concat_dataframes,6658.95,6225.5,2572.4792,2276.6,1892.0,1852.1995,0.0018,0.0014,0.0016
count,436.45,0.0,712.1786,302.1,0.0,563.77,0.0007,0.0008,0.0001
drop,2474.9,366.5,3773.2725,1037.65,885.0,1818.7588,0.001,0.0007,0.0014
dropna,51488.9,48828.0,9372.3435,5892.9,5035.5,2570.3341,0.0041,0.0036,0.0023
fillna,27120.75,26519.5,9590.3953,4779.05,4333.5,2265.5605,0.0033,0.0029,0.0019
groupby,35366.8,34698.5,12415.0054,6402.5,6286.0,2771.8048,0.0045,0.004,0.0024
isna,17947.35,14282.0,16360.1068,4376.15,3357.0,4282.1606,0.0032,0.0024,0.0036
load_csv,183987.0,155059.5,127234.4232,18429.6,12085.0,26602.7721,0.0104,0.0058,0.0206
load_json,765806.0,755216.0,78593.6668,266124.8,262480.5,12532.0493,0.1265,0.1225,0.0112
max_val,1275.6,0.0,2393.2557,717.05,0.0,1821.9597,0.0011,0.0008,0.0015
mean,5609.15,5920.0,4821.5897,1916.45,2044.5,2431.0736,0.0014,0.0011,0.0018
merge,37677625.75,37027340.0,3263032.4303,5485419.95,5520463.0,178180.5822,1.4498,1.432,0.0675
min_val,1141.35,0.0,2048.7601,369.2,0.0,590.5904,0.0007,0.0008,0.0001
replace,30377.15,27099.5,22416.3296,5514.5,4821.5,4140.0199,0.0037,0.0029,0.0035
save_csv,218728.05,214080.0,18475.8454,25265.25,24475.0,3847.5766,0.0178,0.0171,0.0029
save_json,211879.85,211089.5,5888.7342,45199.5,44769.5,2417.5465,0.0307,0.0302,0.002
sort,60864.15,59722.5,7189.5595,12035.9,11657.5,2254.5472,0.0039,0.0035,0.0018
sum,1104.7,0.0,2388.2257,610.35,0.0,1885.7392,0.001,0.0008,0.0015
unique,6622.35,6348.0,2646.0419,2249.15,1770.0,1850.5216,0.0019,0.0016,0.0015
