tag,pkg_mean,pkg_median,pkg_std,dram_mean,dram_median,dram_std,duration_mean,duration_median,duration_std
concat_dataframes,8264.3,7049.5,3991.1268264043483,2008.2,1495.5,1738.8750386384872,0.00205042362213129,0.00146532058715815,0.0019719197077874176
count,1489.1,0.0,2189.5506616655393,414.9,152.5,515.9365701754862,0.00070972442626949,0.0007672309875487501,0.00011656562595041706
drop,4443.3,3601.0,4449.339103232699,958.4,580.0,1616.8504500348129,0.00121464729309077,0.0006662607192993,0.0020092452247565205
dropna,62652.4,55481.0,24342.92769391371,6970.4,5707.0,3536.1714136431037,0.00473694801330561,0.003669261932373,0.0035998029824941503
fillna,56896.7,53771.5,10293.031580745404,6335.4,5554.5,2557.1889166730634,0.00442810058593746,0.00347948074340815,0.002959811403978479
groupby,38488.5,38055.0,12438.006523465798,5468.5,4851.5,2976.4966450136944,0.00486316680908199,0.0039957761764526,0.002879838234107757
isna,20410.2,16662.5,13541.791993676465,3991.6,2960.0,3278.65281276726,0.0033450126647948603,0.0023002624511718,0.0034799292908865927
load_csv,92840.1,85967.5,22943.199556247117,6854.3,6195.0,2012.0796344964967,0.00397632122039791,0.0036391019821166498,0.0011164899205976546
load_json,554008.5,542448.0,53576.5608208374,142388.6,140502.0,6173.309740775654,0.07925093173980709,0.0764830112457275,0.007863494598393299
max,5389.1,4333.0,4595.187565994088,1556.4,1526.0,1725.7757804664093,0.0016047239303588398,0.0010211467742918998,0.0020081080785695716
mean,6463.7,5432.0,6384.4025919075275,1788.3,1648.0,1998.7802419364555,0.0016169786453246698,0.00102424621582025,0.0019623224141808297
merge,19315123.8,18832868.0,1538232.3749220723,2258233.9,2288110.5,98800.0281808889,0.7570065259933472,0.7548993825912476,0.06903345566236752
min,4785.2,3998.0,3662.3683836798527,946.0,1159.5,645.4139068157048,0.00098073482513423,0.001017689704895,0.00011800894135737765
replaces,32214.3,32105.0,16541.748040437968,4833.7,4150.0,2689.2372751808684,0.0038248062133788502,0.0028674602508544497,0.003033626985195165
save_csv,161840.4,159087.5,8859.063020432803,15765.4,15564.0,895.9063939199599,0.01433582305908199,0.01447069644927975,0.0009756712625775875
save_json,192699.8,190460.0,8291.621591837282,31970.2,31708.0,1499.3089371069882,0.02616333961486812,0.02583360671997065,0.0012371591963967175
sort,44744.6,40618.5,12210.872634209598,6958.1,7232.5,2159.0569160322443,0.00355305671691889,0.00291490554809565,0.0021118295903150793
sum,4009.9,976.5,5745.9478175686745,927.7,0.0,2020.9753448383392,0.00132119655609126,0.0007382631301879499,0.0020050778139192047
unique,6732.2,5951.0,3040.4907790976404,1843.2,1404.0,1677.1614776825224,0.0018931627273559098,0.00134110450744625,0.0019785079759192686
