tag,pkg_mean,pkg_median,pkg_std,dram_mean,dram_median,dram_std,duration_mean,duration_median,duration_std
concat_dataframes,28543.15,28625.5,3260.3849,11965.9,13244.5,2617.1845,0.0088,0.0097,0.0022
count,20291.05,17547.5,15312.5986,10211.15,9247.0,7881.1647,0.0087,0.0081,0.0065
drop,11703.4,11230.5,4586.9537,7864.25,8484.0,2985.2564,0.007,0.0073,0.0023
dropna,291118.6,293273.0,17763.7316,36941.45,36285.5,3322.4001,0.0258,0.0262,0.0025
fillna,66040.0,64606.0,12966.0156,22033.75,21484.0,3775.0409,0.0163,0.0157,0.0034
groupby,213427.2,212524.0,16918.9449,43307.35,41290.5,4238.1581,0.0259,0.0242,0.0037
isna,104745.4,103912.0,15299.6254,27767.85,28411.5,4219.3559,0.0231,0.0228,0.0039
load_csv,20021488.05,19446025.5,1060685.2181,1333562.85,1327846.5,17517.7105,0.5815,0.545,0.0681
load_json,338661312.7,340069014.5,32323840.4158,91273386.9,89446243.5,5623873.7643,49.0015,47.2996,4.4486
max,831342.4,834867.5,10142.9338,222936.6,224090.5,4068.0423,0.0465,0.0473,0.0037
mean,936664.5,936948.5,9047.8969,227715.35,226470.5,4231.3467,0.0519,0.0507,0.0038
merge,823.95,0.0,1356.0937,161.75,0.0,337.4238,0.0005,0.0006,0.0001
min_vals,833497.0,835050.0,7898.1023,220760.6,218535.5,4406.5968,0.0441,0.0416,0.0035
replace,561839.35,560637.0,13255.7318,69256.45,68726.0,7463.5673,0.038,0.0382,0.0055
save_csv,38265054.05,38373040.5,381197.6895,2994154.4,2939965.0,130444.7702,1.807,1.7504,0.1087
save_json,60139030.5,59980498.0,2659160.2014,13531166.3,13386287.5,836037.4433,9.2,9.0419,0.7201
sort,9574304.05,9568853.0,72337.9948,2594091.3,2594323.0,4878.911,0.4892,0.4899,0.0063
sum,33550.95,31250.0,8674.3121,12408.55,12360.0,4791.1,0.0085,0.0086,0.0042
unique,147390.35,147521.5,6257.8453,49658.05,49529.5,2764.6326,0.0247,0.0238,0.0021
