tag,pkg_mean,pkg_median,pkg_std,dram_mean,dram_median,dram_std,duration_mean,duration_median,duration_std
concat_dataframes,3439.25,1251.0,5531.0099,1345.8,1465.0,1828.4843,0.0012,0.0009,0.0014
count,979.6,0.0,1340.5627,234.95,0.0,351.631,0.0007,0.0008,0.0001
drop,1437.45,0.0,3143.1897,573.8,0.0,1830.206,0.001,0.0007,0.0015
dropna,15322.8,7171.5,15016.0133,3448.5,3387.5,2957.3051,0.0024,0.0019,0.0022
fillna,19488.65,18341.0,15798.487,3646.8,3326.5,3464.8363,0.0025,0.0019,0.0027
groupby,9438.9,7263.0,6250.7492,2642.8,1892.0,2732.0654,0.0023,0.0019,0.0022
isna,8270.3,6348.0,9026.4888,2358.9,1739.5,3365.6946,0.002,0.0014,0.0027
load_csv,36129.6,10742.5,107321.0212,7507.5,2350.5,23290.2327,0.0056,0.0015,0.0182
load_json,64651.3,60638.0,16712.3819,14865.0,14038.0,2583.7726,0.0122,0.0117,0.0019
max,2471.85,1281.5,2779.1893,1156.55,1495.0,809.0843,0.0009,0.001,0.0002
mean,2978.5,0.0,4321.6451,1699.8,1801.0,1732.9879,0.0012,0.001,0.0015
merge,958.3,0.0,1444.9792,402.85,0.0,610.5546,0.0005,0.0006,0.0001
min_vals,3295.85,1038.0,6237.0793,1455.65,1373.5,1861.1582,0.0012,0.001,0.0014
replaces,6976.25,6500.0,2667.6979,1815.85,1800.5,399.4609,0.0015,0.0015,0.0001
save_csv,31347.6,32227.0,4917.7147,11315.85,11474.5,777.0434,0.009,0.009,0.0002
save_json,26483.1,26092.5,5640.4638,6182.9,5371.0,2824.0028,0.0049,0.0041,0.0023
sort,6253.05,6348.0,4293.5932,1974.45,1892.0,1565.7415,0.0015,0.0012,0.0015
sum,741.6,0.0,1457.2642,314.2,0.0,542.2043,0.0006,0.0007,0.0001
unique,2041.6,0.0,3621.5802,1236.0,824.0,2130.26,0.0011,0.0008,0.0017
