tag,pkg_mean,pkg_median,pkg_std,dram_mean,dram_median,dram_std,duration_mean,duration_median,duration_std
concat_dataframes,8054.6,7202.5,4892.742,2166.7333,1770.0,1538.5084,0.0016,0.0014,0.0012
count,1462.8,1007.5,1739.9748,445.6333,244.0,573.0506,0.0008,0.0008,0.0001
drop,2071.1,0.0,3402.6087,630.6667,0.0,1459.4457,0.0009,0.0007,0.0011
dropna,48156.6333,47974.0,10008.5786,5236.8667,4822.0,2200.3188,0.0036,0.0033,0.0018
fillna,24733.3,22491.0,9830.0172,4054.8,3601.0,2061.6206,0.003,0.0028,0.0015
groupby,30712.8667,28411.5,9924.4868,5236.8333,4608.0,2346.6596,0.0041,0.0038,0.0018
isna,17362.6333,14862.5,16555.5292,4006.0333,3296.0,4473.1241,0.003,0.0023,0.0037
load_csv,116778.3667,101348.5,100991.2123,12406.3,9247.0,18417.6894,0.0065,0.0039,0.014
load_json,606437.5333,593718.0,51338.3785,187306.2,185150.0,9967.2122,0.0939,0.092,0.0088
max,6077.0333,6531.0,4313.785,1743.5667,1709.0,1409.3356,0.0012,0.001,0.0012
mean,5761.8333,5829.0,3692.225,1804.6,1983.5,1500.3046,0.0013,0.0011,0.0012
merge,19456529.8,19082531.5,1493880.1232,2860759.2667,2865837.5,78538.2161,0.7246,0.716,0.0408
min_vals,5857.2,7079.5,3598.6939,1682.4667,2014.0,603.3167,0.001,0.001,0.0
replaces,62223.1333,55023.5,31432.6415,6496.1333,5493.0,4693.6015,0.0042,0.0034,0.0039
save_csv,169113.8667,164795.0,18353.9349,22875.9,21636.5,4148.0023,0.0164,0.0149,0.0033
save_json,180968.7333,181823.0,5204.1095,35310.7667,35308.5,1815.79,0.0233,0.023,0.0015
sort,40462.2667,38208.0,9206.9922,6744.4,6195.0,1758.9907,0.0029,0.0027,0.0013
sum,1739.5667,0.0,2755.0223,677.5333,0.0,1612.4248,0.0009,0.0008,0.0012
unique,8630.3667,8117.5,4233.9565,1942.8667,1739.5,1596.7217,0.0015,0.0013,0.0013
