tag,pkg_mean,pkg_median,pkg_std,dram_mean,dram_median,dram_std,duration_mean,duration_median,duration_std
concat_dataframes,6481.95,5646.0,3760.6933,2105.7,1648.0,2209.4104,0.0018,0.0014,0.0018
count,118841.3,55145.0,177055.9044,35122.55,17120.5,49792.7987,0.0242,0.0143,0.0284
drop,3848.1,4455.5,2215.8158,1123.05,1373.0,516.9271,0.001,0.0011,0.0002
dropna,25176.95,24658.0,4202.5881,5786.15,5432.0,2269.5155,0.0047,0.0043,0.0018
fillna,39086.95,40436.0,3272.7046,7287.55,7446.5,608.3674,0.0062,0.0062,0.0001
groupby,98147.3,78826.5,52443.2116,25952.1,21789.0,13418.9118,0.0196,0.0168,0.008
isna,352709.15,369811.0,82343.5513,99401.6,104309.0,23086.2077,0.0582,0.061,0.0134
load_csv,5341130.05,5351732.0,112179.4879,1256387.2,1255337.5,7765.2106,0.8546,0.855,0.0073
load_json,65447949.55,65442703.5,1044487.1485,11764285.7,11742951.0,91830.3065,9.6945,9.6763,0.0779
max,34942.55,36224.0,4528.5421,6320.2,6714.0,606.3992,0.0049,0.005,0.0002
mean,82677.85,52947.5,92213.0977,18222.0,9308.0,26088.4515,0.0125,0.0074,0.0149
merge,27987.75,12757.0,49430.0631,7418.75,2808.0,13428.0875,0.0051,0.0023,0.008
min,67428.25,37688.5,94077.9828,15524.15,6744.0,26291.328,0.0103,0.0052,0.015
replace,4052.65,4760.0,2317.1157,1254.3,1526.0,638.0989,0.0011,0.0012,0.0002
save_csv,11618549.45,11574525.0,241415.0792,2228537.45,2225580.5,18055.2632,1.7145,1.7144,0.013
save_json,6094588.85,6108596.5,77216.7943,1599840.15,1596614.5,16223.6272,0.9279,0.9276,0.0103
sort,17947.4,18189.0,5989.8023,4568.55,4395.0,2111.4805,0.0035,0.003,0.0018
sum,36013.9,35827.5,9267.9273,6903.05,6775.0,1380.1727,0.0053,0.0051,0.0011
unique,379576.6,344604.0,97893.9675,59426.8,50110.0,27252.549,0.0295,0.0241,0.0154
