tag,pkg_mean,pkg_median,pkg_std,dram_mean,dram_median,dram_std,duration_mean,duration_median,duration_std
concat_dataframes,4403.65,4303.0,4607.9654,1452.55,1068.5,2581.4374,0.0016,0.0012,0.002
count,31274.15,30029.0,4133.0523,12469.4,12390.0,439.9905,0.0103,0.0104,0.0002
drop,3973.3,5249.5,2451.2763,1336.75,1556.5,466.5112,0.001,0.001,0.0001
dropna,26901.25,26428.5,2313.2017,5279.6,5249.0,374.5367,0.0043,0.0044,0.0001
fillna,56237.6,56732.5,2753.5454,9652.65,9765.0,365.8097,0.0082,0.0082,0.0002
groupby,47808.8,45898.0,8284.3275,15841.7,15472.5,1855.3706,0.0127,0.0123,0.0016
isna,4254.1,4974.5,2783.7964,1095.55,1403.5,587.9576,0.0011,0.0012,0.0002
load_csv,75362.95,71594.0,11980.4114,14801.05,14710.0,1296.2491,0.0097,0.0095,0.0009
load_json,164901.25,154601.0,50064.2108,34869.5,31311.0,17452.3699,0.021,0.0192,0.0078
max,19424.5,20843.5,3911.7826,4074.15,4242.0,466.0003,0.0032,0.0033,0.0002
mean,28112.8,27832.0,4345.4684,5950.9,5493.5,2264.3383,0.0048,0.0044,0.0018
merge,13952.4,13458.0,2615.9006,3240.85,2807.0,1891.2209,0.0028,0.0026,0.0015
min,18646.25,20508.0,4247.0769,4327.45,4242.0,1858.4995,0.0034,0.0031,0.0015
replace,3500.25,3845.0,2643.8891,1287.75,1495.0,710.6476,0.001,0.001,0.0001
save_csv,224312.8,224548.0,8616.3653,46710.05,46692.0,2477.4079,0.0393,0.0394,0.002
save_json,59280.25,58807.0,3283.7852,12081.75,12390.5,718.2338,0.0089,0.0089,0.0003
sort,13141.05,11993.5,10350.0033,3622.45,2960.0,4457.0217,0.0028,0.002,0.0037
sum,20532.15,20599.5,5144.8135,4608.15,4334.0,1686.013,0.0035,0.0032,0.0015
unique,23934.65,22918.5,5015.575,4986.55,4455.5,1948.206,0.0038,0.0035,0.0016
