tag,pkg_mean,pkg_median,pkg_std,dram_mean,dram_median,dram_std,duration_mean,duration_median,duration_std
concat_dataframes,9039.3,7599.0,4174.923553524995,2703.9,1709.0,2799.0795094101913,0.00243818759918208,0.0018229484558105,0.002234934226684318
count,32214.5,31342.0,5174.908399618723,12591.6,12329.0,776.0031786876478,0.01056263446807856,0.0105378627777099,0.0001770675449753485
drop,6109.6,5859.0,1673.8005456644667,1208.7,1312.5,331.53684226308513,0.0012506484985351,0.0013102293014526,0.00014498812981870247
dropna,60333.1,56060.5,15808.530667895033,11602.9,9979.5,6082.450994459389,0.00955781936645502,0.00808155536651605,0.004804035359023144
fillna,105749.2,107116.5,3409.509635644921,16320.8,16418.5,874.1793357836312,0.01407756805419918,0.0139706134796142,0.00039756677872945117
groupby,148168.7,133544.5,46165.40317898001,35742.0,34301.0,4141.510003743938,0.017632174491882268,0.0171520709991455,0.0017053036682821332
isna,6280.7,6714.0,1262.5109944515775,1501.4,1586.5,259.07364890230645,0.0012843370437621699,0.00126481056213375,0.00030273275583795933
load_csv,585173.1,578062.5,28995.905444466545,105169.3,104247.5,3431.479857308084,0.06584794521331783,0.06413424015045165,0.004975787552370004
load_json,2128088.9,2097497.5,110149.96250107799,573723.0,566282.5,24071.158758979593,0.2846134185791015,0.2789206504821777,0.0157604194509609
max,35363.9,33417.0,4575.927603593979,6280.4,5737.5,1061.9194570838852,0.00484666824340814,0.004720687866210899,0.0005504444387100906
mean,37261.8,36285.0,5241.5401426171165,6860.3,6347.5,1551.0625067997742,0.00535581111907955,0.00506770610809325,0.0007951569074568953
merge,29772.8,29754.5,4398.7421636443105,5841.0,5157.5,2633.685166369655,0.00485436916351313,0.0041683912277221,0.0021690894910514655
min,34881.5,32257.0,7402.290805329568,6512.3,5615.0,2527.01251151104,0.0052461624145507405,0.0047138929367065,0.001984762418613715
replace,5578.5,6256.0,2191.603383116774,1226.8,1434.5,474.86157047197565,0.0010691404342650901,0.0011307001113891502,0.0001362743837916925
save_csv,1175192.2,1170803.5,16926.36493626306,264629.6,265258.0,2522.9642266367778,0.16099195480346676,0.16162574291229242,0.001278184348952319
save_json,858939.5,862425.0,18662.98606124493,216643.8,218322.5,7531.732275291434,0.11140511035919184,0.11302089691162105,0.003262816069909228
sort,16760.3,15503.0,6782.702133614104,4480.1,3235.0,2949.9974180779664,0.0032257318496703496,0.00231230258941645,0.0023254107085954583
sum,26275.7,24658.0,4400.911876468835,4858.4,4455.5,1022.002413565317,0.00385603904724116,0.00373911857604975,0.00043378383820622365
unique,35394.1,33843.5,5444.259330299719,6780.7,5737.0,3397.7949728872363,0.0050037145614623395,0.00417387485504145,0.002613015063756661
