tag,pkg_mean,pkg_median,pkg_std,dram_mean,dram_median,dram_std,duration_mean,duration_median,duration_std
concat_dataframes,8184.9,6988.5,3981.268431319624,2581.9,1647.5,2539.123928094535,0.00251295566558832,0.00186538696289055,0.0022024154821671323
count,35015.9,37109.5,7373.384063267317,5780.1,5859.0,1852.532887697274,0.00395989418029781,0.0037587881088256498,0.0008599919023963519
drop,5596.9,5981.5,2577.3687034131017,1446.6,1525.5,306.0708705149475,0.00125355720520015,0.0012551546096800999,2.3876218407570603e-05
dropna,65338.2,60699.0,17221.269057637874,12548.7,11108.5,5494.060652700838,0.010354971885681099,0.0089752674102783,0.00443405295357254
fillna,114312.4,113708.0,3460.206422872614,17950.3,17761.5,844.2720796309947,0.01545205116271967,0.0153298377990722,0.00044428644130500915
groupby,162939.1,146911.5,52742.674179980255,37341.1,35644.0,5185.298865275,0.018699121475219672,0.0179201364517211,0.00210537168937824
isna,6085.0,6317.5,1677.4368674988768,1581.0,1556.5,580.6909677272414,0.00108582973480219,0.00113523006439205,0.00012632170675421983
load_csv,389610.8,386168.5,16377.226863340858,73528.9,73242.0,2905.771744878345,0.04747309684753414,0.04659235477447505,0.0027612967924780956
load_json,3178666.4,3165733.0,95419.99342695436,914408.1,908414.5,13741.059448480197,0.4506343126296997,0.44560897350311274,0.012890133032382392
max,25567.6,25299.0,6550.684683467997,5023.1,4608.0,1150.3196125908275,0.00386219024658198,0.0036510229110717,0.0007212408471428359
mean,38085.8,37475.5,8522.509643422074,7446.3,6866.0,2091.261875837967,0.005392169952392551,0.004946589469909651,0.0011082908739414872
merge,32464.6,30822.5,4123.308008545243,6201.1,5188.0,2575.981213268278,0.00511488914489742,0.004367709159851,0.002136451317378222
min,25543.2,24291.5,4645.86432097289,5169.7,4272.0,2615.0155321399784,0.00414943695068354,0.00349771976470945,0.002210000496221275
replace,3668.2,3692.5,2579.7258166109223,884.9,824.0,592.4505511479887,0.0010329961776733,0.0011001825332640999,0.00015691348316187244
save_csv,578129.8,577422.0,12791.133463805656,104333.3,102661.0,4025.710290674733,0.0848253726959228,0.08354258537292475,0.002693687262873511
save_json,862760.2,861356.5,22786.862910214077,194475.6,194335.0,2009.8113897135281,0.12156379222869869,0.12189865112304679,0.002322634643447291
sort,15002.5,14739.5,5202.100435828247,4247.9,3387.5,2533.2849315551625,0.0032125949859618504,0.00235974788665765,0.002360181677664813
sum,23339.9,22827.0,2934.653204951709,4412.7,4363.5,555.6311826302688,0.00351994037628169,0.0034812688827514,0.00019545709800877718
unique,125445.3,124969.5,3233.414949141747,25933.8,25055.0,3147.9981222640167,0.010094046592712359,0.009269356727600049,0.002265256773049192
