tag,pkg_mean,pkg_median,pkg_std,dram_mean,dram_median,dram_std,duration_mean,duration_median,duration_std
concat_dataframes,7428.1,6287.0,3453.436853339004,3039.6,2746.0,2328.5536855882597,0.00248153209686274,0.0018203258514404,0.0022067942830565042
count,34417.6,35674.5,8238.690715830466,6012.0,5890.0,1041.8012179767204,0.00398998260498042,0.0038508176803588,0.000481214653210818
drop,4949.8,5523.5,2183.016709866316,1141.1,1311.5,550.5382114097279,0.00113847255706783,0.00121366977691645,0.00013940257501981614
dropna,56945.6,51971.5,14252.826146261503,10998.6,9369.0,5239.732291719578,0.00921521186828607,0.007957100868225049,0.004092667126711509
fillna,102410.6,102295.0,1985.665474791206,15832.7,15625.0,471.3696473516769,0.013648772239685001,0.0134665966033935,0.000423399958938686
groupby,143682.6,133300.5,43898.042189196145,35461.6,34241.0,4039.058614193275,0.01756484508514399,0.0170676708221435,0.0015820506984780347
isna,4584.0,5005.0,2306.4147261255703,1208.4,1526.0,576.7495508836088,0.0011899948120116899,0.0012500286102294501,0.00012597582893332353
load_csv,523118.8,516844.0,33774.242377554205,95086.4,94451.5,3957.9643533288954,0.06230635643005365,0.0610270500183105,0.0042679064192134505
load_json,2010841.0,1994990.0,110740.14410220794,578105.0,561766.0,41370.09156114811,0.2798281908035278,0.27054309844970703,0.019903261219219932
max,27295.0,25787.0,6263.109380420488,5084.1,4394.5,1359.530593011181,0.0039711475372314,0.0036547183990478,0.0008323694497979827
mean,37847.8,38208.0,4538.795625860822,6836.0,6775.0,878.6756448706706,0.00512423515319819,0.0050356388092040495,0.0004838586550457933
merge,28167.8,28687.0,4052.4772341536154,5725.2,4883.0,2916.651192339903,0.0047557115554809,0.0039912462234497,0.0021500101656755336
min,24969.2,23650.5,3871.399884623993,5419.7,4363.5,2916.9254761363604,0.00432007312774654,0.0036402940750122,0.002135936532140759
replace,6024.3,5890.5,2879.44466289364,1495.4,1556.5,714.900024090393,0.0012346744537353,0.00115287303924555,0.0003638737796594391
save_csv,1163485.5,1166500.5,42760.67110545492,291692.3,298400.0,17048.95126817026,0.1644631147384643,0.16699242591857905,0.00599068348106477
save_json,978214.2,974912.5,21453.475195304734,249035.0,247680.0,7602.63580024133,0.1324433088302612,0.13185870647430414,0.003827138676292065
sort,14782.5,14190.5,5907.622199798795,4150.5,3204.5,2850.319562980809,0.00306949615478509,0.0022542476654051997,0.002336487913845687
sum,23034.7,23498.5,3619.831980446975,4333.4,4333.0,551.8385834845386,0.0035751819610595195,0.00364100933074945,0.0002103310213334779
unique,106091.1,104675.5,5383.076865923841,23864.6,22613.5,3240.7324343597243,0.00892372131347653,0.00823926925659175,0.002198476222988124
