tag,pkg_mean,pkg_median,pkg_std,dram_mean,dram_median,dram_std,duration_mean,duration_median,duration_std
concat_dataframes,32954.8,32745.5,4457.4624,11956.8667,12237.5,1486.3771,0.0101,0.0102,0.0012
count,78633.4667,78765.5,10512.0047,18475.4667,18310.5,2690.8132,0.0153,0.0146,0.0022
drop,14752.1333,14160.0,2885.2349,3222.5667,2777.0,1756.7648,0.0027,0.0025,0.0015
dropna,356470.8,358733.0,14092.7101,65608.5,65521.0,3083.5226,0.0573,0.0571,0.0027
fillna,827213.5,831083.0,32000.539,134968.6,133605.5,13126.2832,0.116,0.1159,0.008
groupby,438501.9333,455229.5,184530.6364,95875.9,99761.5,40113.0552,0.0675,0.0718,0.034
isna,11814.4333,8331.0,9098.7934,3877.8333,2197.5,3628.6855,0.004,0.002,0.004
load_csv,40050904.5333,39663411.5,3812289.0956,8462270.6667,8356363.0,584423.7459,5.2057,5.1823,0.3476
load_json,468817875.3667,468206839.5,14119922.913,114310736.4667,114739361.0,2630867.7086,69.0458,69.234,1.3756
max,53635.6,48980.5,9927.5871,12884.3333,12329.0,4864.0647,0.0082,0.0077,0.0039
mean,91485.2667,91186.0,5766.2239,19490.4667,19439.5,666.3525,0.0135,0.0134,0.0005
merge,229953.3667,229735.5,6270.5826,42933.9667,42572.0,2142.6225,0.0374,0.0372,0.0017
min,118436.3333,117980.0,4227.484,20155.8667,20202.5,1152.1922,0.0133,0.0131,0.0008
replace,7385.2,6591.5,4659.9029,5009.0,4791.5,4212.1433,0.0045,0.0042,0.0035
save_csv,168523921.6,168883418.0,2133011.8112,26572175.1667,26557549.5,165430.608,22.9355,22.9072,0.143
save_json,186605892.3,185949780.0,2935962.6369,40471098.0333,40530383.0,388210.0009,26.9745,26.9296,0.2204
sort,202477.5667,204681.0,28114.6792,65405.1333,67901.5,6124.1374,0.0335,0.0361,0.0049
sum,71764.9667,74676.0,11304.3326,17156.9,16936.5,1381.3634,0.0115,0.0114,0.0009
unique,204890.4333,204528.5,5583.0284,37194.6667,36834.5,1434.7576,0.0162,0.0158,0.001
